"Interstitial Velocity, m/s",Porosity,Salt Conc. (PPM),PV,Clay Percentage,Norm K,Experiment_ID
0.008569254,0.19,0,5.160303441,0.08,0.407338445,MG1
6.63e-06,0.2,1250,70.53846154,0.07,1.0,ZZ1
4.09e-05,0.192,5000,110.1387407,0.0795,1.0,YU2
6.63e-06,0.2,30000,18.17307692,0.07,1.0,ZZ1
4.09e-05,0.192,0,356.6702241,0.0795,0.274337764,YU2
3.48e-05,0.226,40000,160.6557377,0.1101,1.0,YU1
0.02804483237764716,0.19,30000,28.0,0.08,1.0,KF1
6.63e-05,0.2,500,66.53663178,0.07,0.508299265,ZZ2
6.63e-06,0.2,30000,12.92307692,0.07,1.0,ZZ1
3.48e-05,0.226,0,2585.79235,0.1101,0.183486239,YU1
6.63e-06,0.2,5000,57.07692308,0.07,1.0,ZZ1
6.63e-06,0.2,30000,5.384615385,0.07,1.0,ZZ1
6.63e-06,0.2,5000,49.26923077,0.07,1.0,ZZ1
4.09e-05,0.192,5000,130.6296692,0.0795,1.0,YU2
0.004568345,0.18,10000,2.888514762,0.07,1.0,AA3
3.48e-05,0.226,40000,91.80327869,0.1101,1.0,YU1
4.09e-05,0.192,0,492.4226254,0.0795,0.224642992,YU2
6.63e-06,0.2,0,95.57692308,0.07,0.094025974,ZZ1
6.63e-06,0.2,0,95.98076923,0.07,0.031615721,ZZ1
6.63e-05,0.2,2500,48.29686013,0.07,1.0,ZZ2
0.004568345,0.18,10000,6.740931498,0.07,1.0,AA3
0.02804483237764716,0.19,4000,248.0,0.08,0.57,KF1
0.02804483237764716,0.19,10000,68.0,0.08,1.0,KF1
6.63e-06,0.2,30000,11.84615385,0.07,1.0,ZZ1
0.02804483237764716,0.19,4000,239.0,0.08,0.61,KF1
0.008569254,0.19,30000,3.494674553,0.08,1.0,MG1
0.02804483237764716,0.19,30000,40.0,0.08,1.0,KF1
6.63e-05,0.2,0,79.72407231,0.07,0.123272873,ZZ2
6.63e-06,0.2,5000,37.15384615,0.07,1.0,ZZ1
0.004568345,0.18,10000,1.905012192,0.07,1.0,AA3
6.63e-06,0.2,500,94.76923077,0.07,0.333333333,ZZ1
3.48e-05,0.226,0,2291.256831,0.1101,0.18018018,YU1
0.02804483237764716,0.19,4500,160.0,0.08,1.0,KF1
6.63e-06,0.2,500,91.80769231,0.07,0.333333333,ZZ1
6.63e-05,0.2,30000,1.455756422,0.07,1.0,ZZ2
6.63e-05,0.2,30000,11.9885823,0.07,1.0,ZZ2
0.02804483237764716,0.19,5000,104.0,0.08,1.0,KF1
6.63e-06,0.2,30000,0.134615385,0.07,1.0,ZZ1
6.63e-05,0.2,0,84.00570885,0.07,0.037953442,ZZ2
3.48e-05,0.226,20000,535.5191257,0.1101,0.686160714,YU1
0.008569254,0.19,30000,3.017366841,0.08,1.0,MG1
3.48e-05,0.226,2500,1174.31694,0.1101,0.416666667,YU1
3.48e-05,0.226,500,1805.464481,0.1101,0.384615385,YU1
0.02804483237764716,0.19,4000,201.0,0.08,0.99,KF1
6.63e-06,0.2,0,96.11538462,0.07,0.02955102,ZZ1
0.004568345,0.18,10000,2.130864878,0.07,1.0,AA3
4.09e-05,0.192,5000,154.9626467,0.0795,1.0,YU2
6.63e-05,0.2,500,62.85442436,0.07,0.488561009,ZZ2
6.63e-06,0.2,5000,58.96153846,0.07,1.0,ZZ1
3.48e-05,0.226,30000,413.1147541,0.1101,1.0,YU1
6.63e-06,0.2,0,95.57692308,0.07,0.087228916,ZZ1
3.48e-05,0.226,500,1885.79235,0.1101,0.384615385,YU1
0.008569254,0.19,30000,3.214515679,0.08,1.0,MG1
3.48e-05,0.226,5000,1028.961749,0.1101,0.434782609,YU1
6.63e-05,0.2,0,83.06374881,0.07,0.040232558,ZZ2
3.48e-05,0.226,500,1683.060109,0.1101,0.384615385,YU1
6.63e-06,0.2,5000,28.53846154,0.07,1.0,ZZ1
6.63e-05,0.2,500,71.3320647,0.07,0.486704788,ZZ2
3.48e-05,0.226,0,2134.42623,0.1101,0.192307692,YU1
4.09e-05,0.192,2500,169.0501601,0.0795,0.89108346,YU2
0.004568345,0.18,10000,0.284920407,0.07,1.0,AA3
6.63e-05,0.2,0,80.58039962,0.07,0.057764174,ZZ2
4.09e-05,0.192,0,343.2230523,0.0795,0.325399817,YU2
6.63e-06,0.2,30000,14.80769231,0.07,1.0,ZZ1
6.63e-05,0.2,2500,29.5432921,0.07,1.0,ZZ2
4.09e-05,0.192,2500,229.2422625,0.0795,0.866804091,YU2
4.09e-05,0.192,0,350.9071505,0.0795,0.283238342,YU2
6.63e-05,0.2,2500,33.13986679,0.07,1.0,ZZ2
6.63e-05,0.2,2500,41.44624167,0.07,1.0,ZZ2
0.004568345,0.18,10000,3.138066494,0.07,1.0,AA3
6.63e-05,0.2,5000,18.6679353,0.07,1.0,ZZ2
6.63e-06,0.2,500,85.61538462,0.07,0.333333333,ZZ1
6.63e-06,0.2,1250,71.61538462,0.07,1.0,ZZ1
6.63e-05,0.2,2500,40.07611798,0.07,1.0,ZZ2
3.48e-05,0.226,500,1323.497268,0.1101,0.377358491,YU1
4.09e-05,0.192,40000,5.763073639,0.0795,1.0,YU2
4.09e-05,0.192,0,386.7662753,0.0795,0.247125571,YU2
6.63e-05,0.2,30000,2.055185538,0.07,1.0,ZZ2
3.48e-05,0.226,5000,719.1256831,0.1101,0.425531915,YU1
3.48e-05,0.226,40000,110.9289617,0.1101,1.0,YU1
6.63e-06,0.2,30000,24.23076923,0.07,1.0,ZZ1
6.63e-06,0.2,5000,46.57692308,0.07,1.0,ZZ1
3.48e-05,0.226,40000,34.42622951,0.1101,1.0,YU1
6.63e-05,0.2,2500,45.64224548,0.07,1.0,ZZ2
0.02804483237764716,0.19,30000,12.0,0.08,1.0,KF1
6.63e-06,0.2,500,93.42307692,0.07,0.333333333,ZZ1
4.09e-05,0.192,5000,99.89327641,0.0795,1.0,YU2
6.63e-05,0.2,2500,34.33872502,0.07,1.0,ZZ2
6.63e-06,0.2,5000,29.61538462,0.07,1.0,ZZ1
6.63e-05,0.2,2500,23.97716461,0.07,1.0,ZZ2
3.48e-05,0.226,40000,57.37704918,0.1101,1.0,YU1
3.48e-05,0.226,30000,386.3387978,0.1101,1.0,YU1
6.63e-05,0.2,30000,3.853472883,0.07,1.0,ZZ2
0.008569254,0.19,30000,2.944733058,0.08,1.0,MG1
0.008569254,0.19,30000,4.553052525,0.08,1.0,MG1
0.004568345,0.18,10000,6.120517077,0.07,1.0,AA3
6.63e-06,0.2,5000,36.07692308,0.07,1.0,ZZ1
6.63e-05,0.2,2500,26.71741199,0.07,1.0,ZZ2
0.004568345,0.18,10000,4.130516823,0.07,1.0,AA3
3.48e-05,0.226,500,1725.136612,0.1101,0.384615385,YU1
3.48e-05,0.226,5000,1055.737705,0.1101,0.434782609,YU1
6.63e-05,0.2,30000,9.933396765,0.07,1.0,ZZ2
6.63e-05,0.2,0,79.63843958,0.07,0.142153324,ZZ2
6.63e-06,0.2,5000,40.65384615,0.07,1.0,ZZ1
0.008569254,0.19,30000,4.387050914,0.08,1.0,MG1
6.63e-06,0.2,5000,27.73076923,0.07,1.0,ZZ1
4.09e-05,0.192,30000,29.45570971,0.0795,1.0,YU2
6.63e-05,0.2,0,80.66603235,0.07,0.052034755,ZZ2
6.63e-06,0.2,0,102.1730769,0.07,0.023583062,ZZ1
0.008569254,0.19,30000,3.318278225,0.08,1.0,MG1
6.63e-05,0.2,2500,47.0980019,0.07,1.0,ZZ2
3.48e-05,0.226,500,1480.327869,0.1101,0.377358491,YU1
4.09e-05,0.192,2500,172.8922092,0.0795,0.89093823,YU2
6.63e-06,0.2,30000,6.461538462,0.07,1.0,ZZ1
4.09e-05,0.192,5000,124.226254,0.0795,1.0,YU2
0.02804483237764716,0.19,4000,213.0,0.08,0.87,KF1
0.02804483237764716,0.19,4000,237.0,0.08,0.63,KF1
6.63e-05,0.2,0,80.49476689,0.07,0.061597818,ZZ2
0.004568345,0.18,10000,4.493135685,0.07,1.0,AA3
6.63e-05,0.2,2500,30.39961941,0.07,1.0,ZZ2
6.63e-05,0.2,30000,9.248334919,0.07,1.0,ZZ2
3.48e-05,0.226,0,2153.551913,0.1101,0.188679245,YU1
6.63e-05,0.2,2500,39.39105614,0.07,1.0,ZZ2
4.09e-05,0.192,500,332.3372465,0.0795,0.736080253,YU2
0.02804483237764716,0.19,10000,80.0,0.08,1.0,KF1
0.02804483237764716,0.19,30000,16.0,0.08,1.0,KF1
6.63e-06,0.2,0,96.25,0.07,0.026914498,ZZ1
0.004568345,0.18,10000,2.751279299,0.07,1.0,AA3
3.48e-05,0.226,5000,998.3606557,0.1101,0.434782609,YU1
0.02804483237764716,0.19,30000,24.0,0.08,1.0,KF1
6.63e-06,0.2,0,95.98076923,0.07,0.037512953,ZZ1
6.63e-05,0.2,0,82.29305423,0.07,0.042802596,ZZ2
6.63e-05,0.2,500,67.82112274,0.07,0.487471812,ZZ2
6.63e-05,0.2,30000,1.1132255,0.07,1.0,ZZ2
6.63e-05,0.2,2500,32.54043768,0.07,1.0,ZZ2
0.004568345,0.18,10000,6.249414856,0.07,1.0,AA3
0.02804483237764716,0.19,5000,88.0,0.08,1.0,KF1
4.09e-05,0.192,5000,116.5421558,0.0795,1.0,YU2
6.63e-06,0.2,0,95.98076923,0.07,0.033674419,ZZ1
0.004568345,0.18,10000,5.612888214,0.07,1.0,AA3
4.09e-05,0.192,5000,106.9370331,0.0795,1.0,YU2
3.48e-05,0.226,0,2539.89071,0.1101,0.183486239,YU1
0.004568345,0.18,10000,6.370256525,0.07,1.0,AA3
3.48e-05,0.226,30000,363.3879781,0.1101,1.0,YU1
0.008569254,0.19,30000,3.722952155,0.08,1.0,MG1
4.09e-05,0.192,2500,232.4439701,0.0795,0.866689568,YU2
3.48e-05,0.226,500,1836.065574,0.1101,0.384615385,YU1
6.63e-06,0.2,30000,22.21153846,0.07,1.0,ZZ1
3.48e-05,0.226,500,1277.595628,0.1101,0.384615385,YU1
0.004568345,0.18,10000,4.734819021,0.07,1.0,AA3
6.63e-05,0.2,5000,19.43862988,0.07,1.0,ZZ2
0.004568345,0.18,10000,4.605921242,0.07,1.0,AA3
0.004568345,0.18,10000,4.944137126,0.07,1.0,AA3
3.48e-05,0.226,5000,837.704918,0.1101,0.425531915,YU1
4.09e-05,0.192,30000,24.33297759,0.0795,1.0,YU2
6.63e-05,0.2,30000,13.01617507,0.07,1.0,ZZ2
6.63e-06,0.2,0,95.44230769,0.07,0.141960784,ZZ1
4.09e-05,0.192,2500,198.5058698,0.0795,0.867905057,YU2
6.63e-05,0.2,5000,22.17887726,0.07,1.0,ZZ2
6.63e-05,0.2,10000,16.52711703,0.07,1.0,ZZ2
0.008569254,0.19,30000,4.853963909,0.08,1.0,MG1
0.02804483237764716,0.19,4000,214.0,0.08,0.86,KF1
3.48e-05,0.226,5000,971.5846995,0.1101,0.434782609,YU1
6.63e-06,0.2,2500,61.65384615,0.07,1.0,ZZ1
4.09e-05,0.192,2500,224.1195304,0.0795,0.889006342,YU2
3.48e-05,0.226,0,2187.978142,0.1101,0.183486239,YU1
3.48e-05,0.226,2500,1193.442623,0.1101,0.408163265,YU1
6.63e-05,0.2,30000,7.706945766,0.07,1.0,ZZ2
6.63e-05,0.2,5000,17.04091342,0.07,1.0,ZZ2
6.63e-06,0.2,500,82.92307692,0.07,0.333333333,ZZ1
6.63e-06,0.2,30000,17.23076923,0.07,1.0,ZZ1
3.48e-05,0.226,30000,439.8907104,0.1101,1.0,YU1
6.63e-06,0.2,1250,67.57692308,0.07,1.0,ZZ1
3.48e-05,0.226,500,1426.775956,0.1101,0.377358491,YU1
4.09e-05,0.192,500,281.1099253,0.0795,0.737404168,YU2
6.63e-05,0.2,0,80.15223597,0.07,0.09080152,ZZ2
4.09e-05,0.192,20000,63.39381003,0.0795,1.0,YU2
6.63e-06,0.2,5000,55.59615385,0.07,1.0,ZZ1
6.63e-05,0.2,500,70.73263559,0.07,0.486835573,ZZ2
6.63e-06,0.2,0,95.84615385,0.07,0.03978022,ZZ1
6.63e-05,0.2,2500,42.30256898,0.07,1.0,ZZ2
4.09e-05,0.192,500,307.3639274,0.0795,0.736725067,YU2
4.09e-05,0.192,30000,37.78014941,0.0795,1.0,YU2
0.02804483237764716,0.19,30000,4.0,0.08,1.0,KF1
6.63e-06,0.2,5000,39.57692308,0.07,1.0,ZZ1
6.63e-06,0.2,2500,65.82692308,0.07,1.0,ZZ1
3.48e-05,0.226,5000,780.3278689,0.1101,0.425531915,YU1
3.48e-05,0.226,500,1767.213115,0.1101,0.384615385,YU1
6.63e-06,0.2,500,74.21246,0.07,0.40123,ZZ1
6.63e-05,0.2,30000,4.538534729,0.07,1.0,ZZ2
3.48e-05,0.226,40000,214.2076503,0.1101,1.0,YU1
4.09e-05,0.192,500,300.9605123,0.0795,0.707118834,YU2
0.004568345,0.18,10000,0.706700846,0.07,1.0,AA3
4.09e-05,0.192,2500,165.8484525,0.0795,1.0,YU2
0.02804483237764716,0.19,4500,140.0,0.08,1.0,KF1
6.63e-06,0.2,30000,20.59615385,0.07,1.0,ZZ1
6.63e-05,0.2,0,82.03615604,0.07,0.044053156,ZZ2
6.63e-06,0.2,0,95.71153846,0.07,0.059834711,ZZ1
3.48e-05,0.226,20000,558.4699454,0.1101,0.676785714,YU1
6.63e-05,0.2,250,77.32635585,0.07,0.336501451,ZZ2
6.63e-05,0.2,0,79.63843958,0.07,0.132768705,ZZ2
0.004568345,0.18,10000,3.622934888,0.07,1.0,AA3
6.63e-05,0.2,2500,47.61179829,0.07,1.0,ZZ2
6.63e-05,0.2,2500,27.74500476,0.07,1.0,ZZ2
6.63e-05,0.2,0,80.49476689,0.07,0.06491141,ZZ2
0.02804483237764716,0.19,4000,228.0,0.08,0.72,KF1
6.63e-05,0.2,2500,25.00475737,0.07,1.0,ZZ2
6.63e-06,0.2,0,95.84615385,0.07,0.044691358,ZZ1
3.48e-05,0.226,10000,627.3224044,0.1101,0.454545455,YU1
6.63e-06,0.2,5000,50.48076923,0.07,1.0,ZZ1
3.48e-05,0.226,500,1706.010929,0.1101,0.384615385,YU1
6.63e-05,0.2,500,63.71075167,0.07,0.488372869,ZZ2
6.63e-06,0.2,500,90.59615385,0.07,0.333333333,ZZ1
4.09e-05,0.192,10000,85.80576307,0.0795,1.0,YU2
4.09e-05,0.192,0,345.1440768,0.0795,0.295204579,YU2
3.48e-05,0.226,5000,749.726776,0.1101,0.425531915,YU1
0.004568345,0.18,10000,4.388406239,0.07,1.0,AA3
0.02804483237764716,0.19,10000,52.0,0.08,1.0,KF1
6.63e-05,0.2,5000,18.06850618,0.07,1.0,ZZ2
0.004568345,0.18,10000,1.048154818,0.07,1.0,AA3
6.63e-06,0.2,0,95.57692308,0.07,0.077849462,ZZ1
6.63e-05,0.2,5000,20.20932445,0.07,1.0,ZZ2
0.02804483237764716,0.19,4000,238.0,0.08,0.62,KF1
0.004568345,0.18,10000,0.641266452,0.07,1.0,AA3
6.63e-06,0.2,500,80.63461538,0.07,0.333333333,ZZ1
3.48e-05,0.226,2500,1224.043716,0.1101,0.408163265,YU1
0.004568345,0.18,10000,2.01002321,0.07,1.0,AA3
6.63e-05,0.2,2500,28.25880114,0.07,1.0,ZZ2
4.09e-05,0.192,2500,178.0149413,0.0795,0.868640589,YU2
6.63e-06,0.2,500,87.76923077,0.07,0.333333333,ZZ1
6.63e-05,0.2,2500,46.2416746,0.07,1.0,ZZ2
4.09e-05,0.192,0,393.810032,0.0795,0.243664891,YU2
0.02804483237764716,0.19,4000,211.0,0.08,0.89,KF1
0.02804483237764716,0.19,5000,96.0,0.08,1.0,KF1
6.63e-05,0.2,0,83.40627973,0.07,0.03918681,ZZ2
6.63e-05,0.2,2500,34.08182683,0.07,1.0,ZZ2
0.004568345,0.18,10000,5.757992073,0.07,1.0,AA3
0.004568345,0.18,10000,2.646455995,0.07,1.0,AA3
6.63e-05,0.2,2500,30.91341579,0.07,1.0,ZZ2
0.02804483237764716,0.19,4000,229.0,0.08,0.71,KF1
6.63e-06,0.2,5000,26.65384615,0.07,1.0,ZZ1
6.63e-06,0.2,2500,62.86538462,0.07,1.0,ZZ1
6.63e-05,0.2,0,80.32350143,0.07,0.069792893,ZZ2
6.63e-06,0.2,0,95.71153846,0.07,0.064070796,ZZ1
6.63e-05,0.2,2500,36.39391056,0.07,1.0,ZZ2
3.48e-05,0.226,20000,508.7431694,0.1101,0.704910714,YU1
0.004568345,0.18,10000,0.983518213,0.07,1.0,AA3
4.09e-05,0.192,30000,33.93810032,0.0795,1.0,YU2
0.004568345,0.18,10000,1.509605739,0.07,1.0,AA3
0.02804483237764716,0.19,4500,124.0,0.08,1.0,KF1
6.63e-05,0.2,30000,7.193149382,0.07,1.0,ZZ2
6.63e-05,0.2,30000,5.052331113,0.07,1.0,ZZ2
3.48e-05,0.226,2500,1250.819672,0.1101,0.4,YU1
4.09e-05,0.192,0,503.9487727,0.0795,0.2246153,YU2
6.63e-05,0.2,2500,40.76117983,0.07,1.0,ZZ2
6.63e-06,0.2,0,103.6538462,0.07,0.023430421,ZZ1
6.63e-05,0.2,0,84.4338725,0.07,0.036134435,ZZ2
6.63e-05,0.2,5000,17.46907707,0.07,1.0,ZZ2
6.63e-06,0.2,500,73.36538462,0.07,0.556923077,ZZ1
3.48e-05,0.226,40000,11.47540984,0.1101,1.0,YU1
6.63e-06,0.2,5000,30.82692308,0.07,1.0,ZZ1
0.02804483237764716,0.19,10000,56.0,0.08,1.0,KF1
0.008569254,0.19,30000,2.239147744,0.08,1.0,MG1
